weight,PCV,PCv donor,PCV expected,PCV after donation,Volume
11.5,21,59.9,43.10801932,38,382
6.3,9.4,60.3,30,30,300
17.1,14.6,39.7,22.75152697,21.6,316
23.4,20,55,28,28,200
25,18,54,30,31,500
25,17.1,46,25.27777778,24.3,400
22.3,15,48,23.37070254,21.7,350
22.3,13,57,26.88789238,29,489
17.5,14.2,49.7,20.51111111,15.6,200
16,7.6,54.9,19.0375,11.2,300
14.5,14.7,43.1,22.95670498,19.7,250
22.7,12,44,18.5,15,300
14.8,28,44,36.9,47.8,210
4.8,7.7,43.2,26.2,32.4,185
26.1,11.1,42,14,14.8,294
18.47222222,14,38,22,18.4,350
14,14,59.7,23,18,140
6.6,15,51,30,20.5,170
18.6,23,34,28.48387097,24,270
9.1,22.3,47,25,17,200
7.7,11.3,46,23.91183261,16,190
18,18,51,20.83333333,22,90