weight,PCV,PCv donor,volume,PCV after donation
11.5,21,59.9,382,38
6.3,9.4,60.3,300,30
17.1,14.6,39.7,316,21.6
23.4,20,55,200,28
25,18,54,500,31
25,17.1,46,400,24.3
22.3,15,48,350,21.7
22.3,13,57,489,29
17.5,14.2,49.7,200,15.6
16,7.6,54.9,300,11.2
14.5,14.7,43.1,250,19.7
22.7,12,44,300,15
14.8,28,44,210,47.8
4.8,7.7,43.2,185,32.4
26.1,11.1,42,294,14.8
18.472,14,38,350,18.4
14,14,59.7,140,18
6.6,15,51,170,20.5
18.6,23,34,270,24
9.1,22.3,47,200,17
7.7,11.3,46,190,16
18,18,51,90,22
3.4,10,57,100,23.6
5.2,9.7,57,100,15.1
9.1,2.4,56,200,7.6
16,7.9,42.5,300,12.3
8.2,12.9,46,350,36.7
13,14.8,55,320,23.5
3.8,5.7,55,130,26.5
37,16,47.5,350,17.9
23.3,11.2,45,350,17
15,10.2,48,300,24.4
15.5,11.3,55,400,22.7
4.1,10,46,80,20
27,8.7,45,200,13.4
16.3,9,50,300,18.7
30,8.7,49.8,300,19.5
3.8,7.2,59,60,9.7
6,8.7,58.8,180,17
27,19.4,52,240,27.5
16.3,13.6,56,300,20.2
5.6,13.9,48.9,80,19.5
11,5,53.3,250,20.1
24.4,10.6,42,350,17.3
37.3,16.4,59,350,16.7
40.7,29.9,41.3,400,28.8
22,14.1,43,300,20.6
9.2,7.4,51.3,110,21.6
2.56,7.1,52,100,25.2
13.5,14,52.8,400,19
15.25,21.4,48.9,300,27.1
17,17,57.9,350,31.5
27,14.3,55,350,17
12,21,56.6,350,37.4
3.2,9,51.3,60,16
2.7,7.5,51,140,40
6,10.5,44.9,170,18.5
20,10.6,55.4,450,21.1
16.75,14.9,47.5,350,19
15,11.1,50,300,18.6
13,10.1,51,160,21.7
12.2,12.2,54.2,350,30.1
6,6.4,51.2,150,19.1
13,9.1,51.3,400,15.7
18,7.5,48,350,16.1
18,7.5,53,350,13.6
23,8.5,52.8,200,14.6
2.55,18.9,43,70,41
14.2,10.5,49.3,450,22.4
15.8,11.8,53,300,15.2
17,26,44,300,37
15.2,17.9,52.6,280,23
25.6,22.3,49,350,25.6
19,16,53.1,300,27.9
3,18,53.1,100,23.9
26,13,51.2,300,17
3,7.2,48,100,22.8
18.6,8.1,42,450,21.7
10,16,50,200,30
10.8,11.5,50,140,27
4.6,12,55,100,20.5
26,6.8,53.3,450,19
13,14.2,36,250,17
5.31,11.8,40,40,18.3
1.3,15.7,49.9,80,28.7
5.2,11.8,36,60,16.2
6.5,13.1,47.9,200,28.9
38,11.3,48.4,400,18.6
12.8,19.6,45,300,31.2
2.9,22.7,47.9,100,35.4
58,37.2,47.7,300,37.7
4.7,11.8,41,50,16.1